rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Titan IIIB,KH-8 7,Titan IIIB,United States Air Force,1967-08-16 17:07:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Burner 2,DSAP-4A F3,Thor Burner 2,United States Air Force,1967-08-23 04:41:04+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-P1-Yu 9,Kosmos 11K63,Soviet Space Program,1967-08-24 04:59:49+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Molniya 8K78,Molniya-1Yu 11L,Molniya 8K78,Soviet Space Program,1967-08-31 08:00:03+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-2 52,Voskhod,Soviet Space Program,1967-09-01 10:30:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
Thor Delta G,Biosat 2,Thor Delta G,United States Air Force,1967-09-07 22:04:26+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3C Centaur,Surveyor 5,Atlas SLV-3C Centaur,United States Air Force,1967-09-08 07:57:01+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 34,Voskhod,Soviet Space Program,1967-09-11 10:30:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-P1-Yu 10,Kosmos 11K63,Soviet Space Program,1967-09-12 17:00:00+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thorad SLV-2G Agena D,KH-4B 1,Thorad SLV-2G Agena D,United States Air Force,1967-09-15 19:41:15+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 53,Voskhod,Soviet Space Program,1967-09-16 06:06:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
R-36O 8K69,OGCh 13,R-36O 8K69,Soviet Space Program,1967-09-19 14:45:03+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIB,KH-8 8,Titan IIIB,United States Air Force,1967-09-19 18:37:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
R-36O 8K69,OGCh 14,R-36O 8K69,Soviet Space Program,1967-09-22 14:05:05+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout A,Transit-O 14,Scout A,United States Air Force,1967-09-25 08:25:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 54,Voskhod,Soviet Space Program,1967-09-26 10:20:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos-3M,Zaliv-GVM 2,Kosmos-3M,Soviet Space Program,1967-09-27 11:00:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
Proton / UR-500 K/D,Soyuz 7K-L1 No.4L,Proton,Soviet Space Program,1967-09-27 22:11:54+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Delta E1,INTELSAT II F-4,Thor Delta E1,United States Air Force,1967-09-28 00:45:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Molniya-1 6,Molniya 8K78,Soviet Space Program,1967-10-03 05:00:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Burner 2,DSAP-4A F4,Thor Burner 2,United States Air Force,1967-10-11 07:57:56+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 55,Voskhod,Soviet Space Program,1967-10-11 11:30:04+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-4 35,Voskhod,Soviet Space Program,1967-10-16 08:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
X-15,Flight 190,North American X-15,United States Air Force,1967-10-17 17:40:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
R-36O 8K69,OGCh 15,R-36O 8K69,Soviet Space Program,1967-10-18 13:30:01+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta C1,OSO 4,Thor Delta C1,United States Air Force,1967-10-18 15:58:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout B,RAM C-1,Scout B,National Aeronautics and Space Administration,1967-10-19 17:33:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Molniya 8K78,Molniya-1 7,Molniya 8K78,Soviet Space Program,1967-10-22 08:40:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92M,Meteor-1 8,Vostok 8A92M,Soviet Space Program,1967-10-24 22:49:09+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Titan IIIB,KH-8 9,Titan IIIB,United States Air Force,1967-10-25 19:15:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Tsiklon-2A,I2-BM (Kosmos-185),Tsiklon-2A,Soviet Space Program,1967-10-27 02:21:19+00:00,90/19,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Soyuz,Kosmos 186,Soyuz,Soviet Space Program,1967-10-27 09:29:59+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
R-36O 8K69,OGCh 16,R-36O 8K69,Soviet Space Program,1967-10-28 13:15:01+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Soyuz,Kosmos 188,Soyuz,Soviet Space Program,1967-10-30 08:12:41+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-3M,Tselina-O 1,Kosmos-3M,Soviet Space Program,1967-10-30 17:59:59+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thorad SLV-2G Agena D,KH-4A 44,Thorad SLV-2G Agena D,United States Air Force,1967-11-02 21:31:19+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 36,Voskhod,Soviet Space Program,1967-11-03 11:20:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Atlas SLV-3 Agena D,ATS 3,Atlas SLV-3 Agena D,United States Air Force,1967-11-05 23:37:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3C Centaur,Surveyor 6,Atlas SLV-3C Centaur,United States Air Force,1967-11-07 07:39:01+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Saturn V,Apollo 4,Saturn V,National Aeronautics and Space Administration,1967-11-09 12:00:01+00:00,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful
Thor Delta E1,ESSA 6,Thor Delta E1,United States Air Force,1967-11-10 17:53:08+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
X-15,Flight 191,North American X-15,United States Air Force,1967-11-15 18:30:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Failure
Kosmos 11K63,DS-P1-Yu 11,Kosmos 11K63,Soviet Space Program,1967-11-21 14:29:48+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Proton / UR-500 K/D,Soyuz 7K-L1 No.5L,Proton,Soviet Space Program,1967-11-22 19:07:59+00:00,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Kosmos-3M,Zaliv 1,Kosmos-3M,Soviet Space Program,1967-11-23 15:00:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2 56,Voskhod,Soviet Space Program,1967-11-25 11:30:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
SPARTA,WRESAT,SPARTA,Weapons Research Establishment,1967-11-29 04:49:00+00:00,Launch Area 8,RAAF Woomera Range Complex,Launch Successful
Voskhod,Zenit-4 37,Voskhod,Soviet Space Program,1967-12-03 12:00:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Scout B,OV3-6,Scout B,United States Air Force,1967-12-05 01:03:46+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIB,KH-8 10,Titan IIIB,United States Air Force,1967-12-05 18:45:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thorad SLV-2G Agena D,KH-4B 2,Thorad SLV-2G Agena D,United States Air Force,1967-12-09 22:25:41+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E1,Pioneer 8,Thor Delta E1,United States Air Force,1967-12-13 14:08:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-2 57,Voskhod,Soviet Space Program,1967-12-16 12:00:37+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos-2I 63S1,DS-U1-G 2,Kosmos-2I 63S1,Soviet Space Program,1967-12-19 06:30:07+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Kosmos 11K63,DS-U2-V 3,Kosmos 11K63,Soviet Space Program,1967-12-26 09:01:59+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Tsiklon-2A,US-AO 3,Tsiklon-2A,Soviet Space Program,1967-12-27 11:28:51+00:00,90/19,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3C Centaur,Surveyor 7,Atlas SLV-3C Centaur,United States Air Force,1968-01-07 06:30:00+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Delta E1,GEOS B,Thor Delta E1,United States Air Force,1968-01-11 16:16:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 58,Voskhod,Soviet Space Program,1968-01-16 12:00:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thor SLV-2A Agena D,Multigroup 3 & Setter 1B-2,Thor SLV-2A Agena D,United States Air Force,1968-01-17 10:12:00+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIB,KH-8 11,Titan IIIB,United States Air Force,1968-01-18 19:04:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-3M,Tselina-O 2,Kosmos-3M,Soviet Space Program,1968-01-19 22:00:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Saturn IB,Apollo 5,Saturn IB,National Aeronautics and Space Administration,1968-01-22 22:48:09+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Thorad SLV-2G Agena D,KH-4A 45,Thorad SLV-2G Agena D,United States Air Force,1968-01-24 22:26:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 38,Voskhod,Soviet Space Program,1968-02-06 08:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya-M,Ye-6LS 112,Molniya-M,Soviet Space Program,1968-02-07 10:43:54+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Kosmos 11K63,DS-U2-V 4,Kosmos 11K63,Soviet Space Program,1968-02-20 10:03:11+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Kosmos-3M,Sfera 1,Kosmos-3M,Soviet Space Program,1968-02-20 16:00:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Scout A,Transit-O 18,Scout A,United States Air Force,1968-03-02 03:55:01+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Proton / UR-500 K/D,Zond 4,Proton,Soviet Space Program,1968-03-02 18:29:23+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3A Agena D,OGO 5,Atlas SLV-3A Agena D,United States Air Force,1968-03-04 13:06:01+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos 11K63,DS-P1-I 3,Kosmos 11K63,Soviet Space Program,1968-03-05 11:20:00+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2 59,Voskhod,Soviet Space Program,1968-03-05 12:30:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Scout B,Explorer 37,Scout B,National Aeronautics and Space Administration,1968-03-05 18:28:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Kosmos 11K63,DS-U1-Ya 1,Kosmos 11K63,Soviet Space Program,1968-03-06 11:02:57+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Failure
Titan IIIB,KH-8 12,Titan IIIB,United States Air Force,1968-03-13 19:51:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92M,Meteor-1 9,Vostok 8A92M,Soviet Space Program,1968-03-14 09:34:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thorad SLV-2G Agena D,KH-4A 46,Thorad SLV-2G Agena D,United States Air Force,1968-03-14 22:00:14+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 39,Voskhod,Soviet Space Program,1968-03-16 12:30:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2M 1,Voskhod,Soviet Space Program,1968-03-21 09:50:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Tsiklon-2A,US-AO 4,Tsiklon-2A,Soviet Space Program,1968-03-22 09:30:34+00:00,90/19,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-2 60,Voskhod,Soviet Space Program,1968-04-03 11:00:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Saturn V,Apollo 6,Saturn V,National Aeronautics and Space Administration,1968-04-04 12:00:01+00:00,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch was a Partial Failure
Atlas F,OV1-13 & 14,Atlas F,United States Air Force,1968-04-06 09:59:42+00:00,576A2,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Luna-14,Molniya-M,Soviet Space Program,1968-04-07 10:09:32+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-Yu 12,Kosmos 11K63,Soviet Space Program,1968-04-09 11:26:25+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Soyuz,Kosmos 212,Soyuz,Soviet Space Program,1968-04-14 10:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Soyuz,Kosmos 213,Soyuz,Soviet Space Program,1968-04-15 09:34:18+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIB,KH-8 13,Titan IIIB,United States Air Force,1968-04-17 17:00:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 40,Voskhod,Soviet Space Program,1968-04-18 10:30:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-U1-A,Kosmos 11K63,Soviet Space Program,1968-04-18 22:29:53+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Voskhod,Zenit-2 61,Voskhod,Soviet Space Program,1968-04-20 10:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya-M,Molniya-1 8,Molniya-M,Soviet Space Program,1968-04-21 04:20:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Proton / UR-500 K/D,Soyuz 7K-L1 No.7L,Proton,Soviet Space Program,1968-04-22 23:01:27+00:00,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Tsiklon-2A,I2M 1,Tsiklon-2A,Soviet Space Program,1968-04-24 16:00:00+00:00,90/20,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
R-36O 8K69,OGCh 17,R-36O 8K69,Soviet Space Program,1968-04-25 00:45:10+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-U2-D 2,Kosmos 11K63,Soviet Space Program,1968-04-26 04:42:56+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Thorad SLV-2G Agena D,KH-4B 3,Thorad SLV-2G Agena D,United States Air Force,1968-05-01 21:31:00+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-3M,Zaliv 2,Kosmos-3M,Soviet Space Program,1968-05-07 13:58:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Scout B,ESRO 2B,Scout B,European Space Research Organisation,1968-05-17 02:06:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thorad SLV-2G Agena D,Nimbus B,Thorad SLV-2G Agena D,United States Air Force,1968-05-18 08:23:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure
R-36O 8K69,OGCh 18,R-36O 8K69,Soviet Space Program,1968-05-20 22:05:02+00:00,162/36,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Burner 2,DSAP-4B F1,Thor Burner 2,United States Air Force,1968-05-23 04:38:12+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-P1-Yu 13,Kosmos 11K63,Soviet Space Program,1968-05-24 07:04:50+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
R-36O 8K69,OGCh 19,R-36O 8K69,Soviet Space Program,1968-05-27 23:15:01+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-Yu 14,Kosmos 11K63,Soviet Space Program,1968-05-30 20:29:49+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2 62,Voskhod,Soviet Space Program,1968-06-01 10:50:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-4 41,Voskhod,Soviet Space Program,1968-06-04 06:45:02+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-3M,Sfera 2,Kosmos-3M,Soviet Space Program,1968-06-04 18:45:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
Titan IIIB,KH-8 14,Titan IIIB,United States Air Force,1968-06-05 17:33:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-U1-Ya 2,Kosmos 11K63,Soviet Space Program,1968-06-11 21:29:54+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Vostok 8A92M,Meteor-1 10,Vostok 8A92M,Soviet Space Program,1968-06-12 13:14:59+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Titan IIIC,IDCSP 20 to 27,Titan IIIC,United States Air Force,1968-06-13 14:03:50+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos 11K65,Strela-2 4,Kosmos 11K65,Soviet Space Program,1968-06-15 12:25:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Voskhod,Zenit-4 42,Voskhod,Soviet Space Program,1968-06-18 06:15:06+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thorad SLV-2G Agena D,KH-4A 47,Thorad SLV-2G Agena D,United States Air Force,1968-06-20 21:46:05+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2M 2,Voskhod,Soviet Space Program,1968-06-21 12:00:03+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 43,Voskhod,Soviet Space Program,1968-06-26 11:00:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thor Delta J,RAE 1,Thor Delta J,United States Air Force,1968-07-04 17:26:50+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-U3-S 2,Kosmos 11K63,Soviet Space Program,1968-07-05 06:59:50+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Molniya-M,Molniya-1 9,Molniya-M,Soviet Space Program,1968-07-05 15:25:59+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-2 63,Voskhod,Soviet Space Program,1968-07-10 19:49:58+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas F,OV1-15,Atlas F,United States Air Force,1968-07-11 19:30:00+00:00,576A2,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 44,Voskhod,Soviet Space Program,1968-07-16 13:10:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-P1-Yu 15,Kosmos 11K63,Soviet Space Program,1968-07-18 19:59:50+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Proton / UR-500 K/D,Soyuz 7K-L1 No.8L,Proton,Soviet Space Program,1968-07-21 00:00:00+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Voskhod,Zenit-4 45,Voskhod,Soviet Space Program,1968-07-30 07:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3A Agena D,Canyon 1,Atlas SLV-3A Agena D,United States Air Force,1968-08-06 11:08:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan IIIB,KH-8 15,Titan IIIB,United States Air Force,1968-08-06 16:30:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thorad SLV-2G Agena D,KH-4B 4,Thorad SLV-2G Agena D,United States Air Force,1968-08-07 21:36:55+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Scout B,Explorer 39,Scout B,National Aeronautics and Space Administration,1968-08-08 20:12:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 64,Voskhod,Soviet Space Program,1968-08-09 07:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3C Centaur,ATS 4,Atlas SLV-3C Centaur,United States Air Force,1968-08-10 22:33:02+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Delta N,ESSA 7,Thor Delta N,United States Air Force,1968-08-16 11:24:33+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Burner 2,UVR,Atlas Burner 2,United States Air Force,1968-08-16 20:57:44+00:00,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Failure
X-15,Flight 197,North American X-15,United States Air Force,1968-08-21 17:05:00+00:00,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful
Scout B,RAM C-2,Scout B,National Aeronautics and Space Administration,1968-08-22 15:16:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Kosmos 11K65,Strela-2 5,Kosmos 11K65,Soviet Space Program,1968-08-27 11:29:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 46,Voskhod,Soviet Space Program,1968-08-27 12:29:59+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Soyuz,Kosmos 238,Soyuz,Soviet Space Program,1968-08-28 10:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 47,Voskhod,Soviet Space Program,1968-09-05 07:00:01+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIB,KH-8 16,Titan IIIB,United States Air Force,1968-09-10 18:30:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-2 65,Voskhod,Soviet Space Program,1968-09-14 06:50:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Proton / UR-500 K/D,Zond 5,Proton,Soviet Space Program,1968-09-14 21:42:11+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 48,Voskhod,Soviet Space Program,1968-09-16 12:30:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Thorad SLV-2G Agena D,KH-4A 48,Thorad SLV-2G Agena D,United States Air Force,1968-09-18 21:32:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta M,INTELSAT III F-1,Thor Delta M,United States Air Force,1968-09-19 00:09:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Kosmos 11K63,DS-P1-I 4,Kosmos 11K63,Soviet Space Program,1968-09-20 14:39:59+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2M 3,Voskhod,Soviet Space Program,1968-09-23 07:39:59+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIC,OV2-5,Titan IIIC,United States Air Force,1968-09-26 07:37:01+00:00,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Launch Successful
R-36O 8K69,OGCh 20,R-36O 8K69,Soviet Space Program,1968-10-02 13:35:01+00:00,161/35,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos 11K63,DS-P1-Yu 16,Kosmos 11K63,Soviet Space Program,1968-10-03 12:58:59+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Scout B,ESRO 1A (Aurorae),Scout B,European Space Research Organisation,1968-10-03 20:49:39+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Molniya-1 10,Molniya-M,Soviet Space Program,1968-10-05 00:32:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thorad SLV-2G Agena D,Strawman 1,Thorad SLV-2G Agena D,United States Air Force,1968-10-05 11:16:00+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Zenit-4 49,Voskhod,Soviet Space Program,1968-10-07 12:05:46+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2 66,Voskhod,Soviet Space Program,1968-10-11 12:05:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Saturn IB,Apollo 7,Saturn IB,National Aeronautics and Space Administration,1968-10-11 15:02:45+00:00,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful
Tsiklon-2A,I2M 2,Tsiklon-2A,Soviet Space Program,1968-10-19 04:20:00+00:00,90/19,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Tsiklon-2A,I2P 1,Tsiklon-2A,Soviet Space Program,1968-10-20 04:02:00+00:00,90/20,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
